,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
653,807,CCV,Cash Converters International,Financials,$144.34 M,CCV.AX,6.98,0.33923955018221014
654,808,IPG,Ipd Group Ltd,Industrials,$143.67 M,IPG.AX,38.75,0.40569160498897344
655,810,LPI,Lithium Power International Ltd,Materials,$143.15 M,LPI.AX,134.29,0.9091512839498622
656,811,MME,Moneyme Ltd,Financials,$142.71 M,MME.AX,-71.96,0.5619826115549317
657,812,CAA,Capral Ltd,Materials,$142.49 M,CAA.AX,9.86,0.3152444912128095
658,813,PTB,PTB Group Ltd,Industrials,$141.2 M,PTB.AX,53.1,0.3750253717940236
659,814,MIH,MNC Media Investment Ltd,Communication Services,$141.09 M,MIH.AX,0.0,0.0
660,815,POS,Poseidon Nickel Ltd,Materials,$140.94 M,POS.AX,-41.03,0.7461029538735937
661,816,ARL,Ardea Resources Ltd,Materials,$140.88 M,ARL.AX,58.86,0.9407241217263302
662,817,ICT,Icollege Ltd,Consumer Discretionary,$140.76 M,ICT.AX,8.33,0.6607456734081952
663,818,GOW,Gowing Bros Ltd,Financials,$140.74 M,GOW.AX,12.82,0.2489574304253159
664,819,WGO,Warrego Energy Ltd,Energy,$140.66 M,WGO.AX,-50.0,0.6669604558518386
665,820,QGL,Quantum Graphite Ltd,Materials,$140.64 M,QGL.AX,841.18,2.151137616296746
666,822,EOL,Energy One Ltd,Information Technology,$140.43 M,EOL.AX,-21.66,0.4296517732548411
667,823,HPG,Hipages Group Holdings Ltd,Communication Services,$140.18 M,HPG.AX,-63.73,0.540884110582581
668,824,EGH,Eureka Group Holdings Ltd,Real Estate,$139.94 M,EGH.AX,-1.67,0.2827889061821263
669,825,FLN,Freelancer Ltd,Industrials,$139.88 M,FLN.AX,-74.17,0.6174668225743162
670,826,MGV,Musgrave Minerals Ltd,Materials,$139.66 M,MGV.AX,-27.78,0.6030566104218239
671,827,IOD,Iodm Ltd,Information Technology,$139.63 M,IOD.AX,9.09,0.5804415846991597
672,828,ATA,Atturra Ltd,Information Technology,$139.38 M,ATA.AX,39.0,0.6236860668240253
