Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap
1789,TDO,3D Oil Ltd,$0.05,0.00%,7.14%,-15.09%,-10.00%,Energy,$11.93 M
1790,BIO,Biome Australia Ltd,$0.08,-7.32%,-6.17%,-24.00%,-62.00%,Consumer Staples,$11.89 M
1791,TMG,Trigg Mining Ltd,$0.07,-5.48%,4.55%,-16.87%,-17.22%,Materials,$11.73 M
1792,CWX,Carawine Resources Ltd,$0.09,1.19%,-32.00%,-41.38%,-61.36%,Materials,$11.72 M
1793,FTC,Fintech Chain Ltd,$0.02,-5.26%,-10.00%,-43.75%,-67.86%,Information Technology,$11.71 M
1794,BTR,Brightstar Resources Ltd,$0.02,12.50%,5.88%,-21.74%,-40.00%,Materials,$11.64 M
1795,KGM,Kalnorth Gold Mines Ltd,$0.01,0.00%,0.00%,0.00%,0.00%,Materials,$11.63 M
1796,UCM,Uscom Ltd,$0.06,-1.67%,-9.23%,-28.05%,-64.94%,Health Care,$11.61 M
1797,CZN,Corazon Mining Ltd,$0.02,2.70%,-17.39%,-26.92%,-43.16%,Materials,$11.6 M
1798,A1G,African Gold Ltd,$0.10,0.00%,8.99%,-30.71%,-55.96%,Materials,$11.58 M
1799,LCT,Living Cell Technologies Ltd,$0.01,12.50%,28.57%,80.00%,-21.52%,Health Care,$11.57 M
1800,TAR,Taruga Minerals Ltd,$0.02,-4.76%,-4.76%,-9.09%,-62.96%,Materials,$11.56 M
1801,BTN,Butn Ltd,$0.15,42.86%,50.00%,0.00%,-70.00%,Financials,$11.53 M
1802,LPE,Locality Planning Energy Holdings Ltd,$0.07,1.52%,31.37%,31.37%,-64.74%,Utilities,$11.47 M
1803,TRP,Tissue Repair Ltd,$0.25,6.52%,-2.00%,-7.55%,-78.70%,Health Care,$11.46 M
1804,R3D,R3D Resources Ltd,$0.12,-11.54%,0.00%,0.00%,-39.72%,Basic Materials,$11.45 M
1805,SHO,Sportshero Ltd,$0.02,5.26%,11.11%,-25.93%,0.00%,Communication Services,$11.4 M
1806,MRQ,MRG Metals Ltd,$0.01,8.33%,-7.14%,-18.75%,8.33%,Materials,$11.36 M
1807,FNX,Finexia Financial Group Ltd,$0.07,0.00%,7.69%,7.69%,-6.67%,Financials,$11.35 M
1808,RDN,Raiden Resources Ltd,$0.01,0.00%,-11.11%,-27.27%,-69.23%,Materials,$11.34 M
1809,KAM,K2 Asset Management Holdings Ltd,$0.05,-6.00%,-9.62%,-20.34%,-40.51%,Financials,$11.33 M
1810,ICL,Iceni Gold Ltd,$0.09,-5.38%,-29.60%,-26.67%,-52.43%,Materials,$11.28 M
1811,BTC,BTC Health Ltd,$0.04,0.00%,0.00%,-16.67%,-46.67%,Financials,$11.27 M
1812,GUL,Gullewa Ltd,$0.06,0.00%,-11.94%,-20.27%,-28.05%,Materials,$11.26 M
1813,AS2,Askari Metals Ltd,$0.27,1.89%,1.89%,-44.33%,35.00%,Materials,$11.23 M
1814,SHN,Sunshine Gold Ltd,$0.02,4.35%,-7.69%,-33.33%,-55.56%,Materials,$11.23 M
1815,EM1,Emerge Gaming Ltd,$0.01,0.00%,-16.67%,-33.33%,-71.43%,Communication Services,$11.21 M
1816,DAF,Discovery Alaska Ltd,$0.05,0.00%,0.00%,-34.21%,-13.79%,Materials,$11.21 M
1817,SBR,Sabre Resources Ltd,$0.00,-11.11%,-20.00%,-20.00%,0.00%,Materials,$11.16 M
1818,EPX,Ep&T Global Ltd,$0.06,5.17%,5.17%,-28.24%,-69.50%,Information Technology,$11.09 M
1819,ODA,Orcoda Ltd,$0.07,0.00%,7.69%,-33.33%,-36.36%,Information Technology,$11.07 M
1820,AYM,Australia United Mining Ltd,$0.01,50.00%,50.00%,0.00%,-25.00%,Materials,$11.06 M
1821,AEV,Avenira Ltd,$0.01,0.00%,0.00%,-8.33%,74.63%,Materials,$11.01 M
1822,TNY,Tinybeans Group Ltd,$0.18,0.00%,2.86%,-35.71%,-83.41%,Communication Services,$10.99 M
1823,SHE,Stonehorse Energy Ltd,$0.02,0.00%,-5.88%,-23.81%,-30.44%,Energy,$10.95 M
1824,BUX,Buxton Resources Ltd,$0.08,4.17%,8.70%,-17.58%,-18.48%,Materials,$10.94 M
1825,NUC,Nuchev Ltd,$0.21,5.00%,-2.33%,-23.64%,-55.79%,Consumer Staples,$10.87 M
1826,TTI,Traffic Technologies Ltd,$0.02,0.00%,-21.05%,-25.00%,-61.51%,Industrials,$10.83 M
1827,MRG,Murray River Organics Group Ltd,$0.25,0.00%,0.00%,0.00%,58.07%,Consumer Staples,$10.81 M
1828,RAS,Ragusa Minerals Ltd,$0.09,-7.61%,-1.16%,-55.26%,19.72%,Materials,$10.69 M
1829,MHC,Manhattan Corporation Ltd,$0.01,16.67%,-22.22%,-36.36%,-46.15%,Materials,$10.68 M
1830,THR,Thor Mining Plc,$0.01,0.00%,5.26%,-28.57%,-37.50%,Materials,$10.67 M
1831,BMO,Bastion Minerals Ltd,$0.14,0.00%,-12.50%,0.00%,-24.32%,Materials,$10.63 M
1832,MM1,Midas Minerals Ltd,$0.20,5.41%,0.00%,-40.00%,-2.50%,Materials,$10.62 M
1833,ICN,Icon Energy Ltd,$0.01,0.00%,-6.67%,-33.33%,12.00%,Energy,$10.57 M
1834,LAW,Lawfinance Ltd,$0.17,-17.50%,-8.33%,-36.54%,-81.91%,Financials,$10.51 M
